sample,polytunnel,rep,sub_block,pot_number,line_number,Accession_Name,Originating organisation,Collaborator1_name,Internal_accession_name,JIC_internal_accession_id,days.to.flowering,number.of.first.branch
28,1,1,1,46,3,JIC09_BnaDFFS001,JIC,BnaDFFS001,BnaDFFS001,s-00001,199,10
9,2,2,2,47,3,JIC09_BnaDFFS001,JIC,BnaDFFS001,BnaDFFS001,s-00001,205,8
66,1,3,3,48,3,JIC09_BnaDFFS001,JIC,BnaDFFS001,BnaDFFS001,s-00001,204,9
3,2,1,4,49,5,JIC09_BnaDFS002,JIC,BnaDFS002,BnaDFS002,s-00002,202,10
14,1,2,5,50,5,JIC09_BnaDFS002,JIC,BnaDFS002,BnaDFS002,s-00002,202,9
23,2,3,6,51,5,JIC09_BnaDFS002,JIC,BnaDFS002,BnaDFS002,s-00002,201,10
27,2,1,7,52,7,JIC09_BnaDFFS003,JIC,BnaDFFS003 Ref1,BnaDFFS003,s-00003,201,8
31,1,2,1,53,7,JIC09_BnaDFFS003,JIC,BnaDFFS003 Ref1,BnaDFFS003,s-00003,201,8
32,2,3,2,54,7,JIC09_BnaDFFS003,JIC,BnaDFFS003 Ref1,BnaDFFS003,s-00003,201,10
42,2,1,3,55,14,JIC09_BnaDFFS004,JIC,BnaDFFS004,BnaDFFS004,s-00004,201,9
43,1,2,4,56,14,JIC09_BnaDFFS004,JIC,BnaDFFS004,BnaDFFS004,s-00004,197,7
56,1,3,5,27,14,JIC09_BnaDFFS004,JIC,BnaDFFS004,BnaDFFS004,s-00004,197,10
65,2,1,6,28,17,JIC09_BnaDFFS005,JIC,BnaDFFS005,BnaDFFS005,s-00005,197,9
5,2,2,7,29,17,JIC09_BnaDFFS005,JIC,BnaDFFS005,BnaDFFS005,s-00005,196,6
10,1,3,1,30,17,JIC09_BnaDFFS005,JIC,BnaDFFS005,BnaDFFS005,s-00005,193,10
19,1,1,2,31,21,JIC09_BnaDFFS006,JIC,BnaDFFS006,BnaDFFS006,s-00006,194,9
22,1,2,3,32,21,JIC09_BnaDFFS006,JIC,BnaDFFS006,BnaDFFS006,s-00006,205,8
30,1,3,4,33,21,JIC09_BnaDFFS006,JIC,BnaDFFS006,BnaDFFS006,s-00006,205,9
33,2,1,5,34,23,JIC09_BnaDFFS007,JIC,BnaDFFS007,BnaDFFS007,s-00007,195,10
41,2,2,6,35,23,JIC09_BnaDFFS007,JIC,BnaDFFS007,BnaDFFS007,s-00007,199,10
44,1,3,7,36,23,JIC09_BnaDFFS007,JIC,BnaDFFS007,BnaDFFS007,s-00007,205,10
52,2,1,1,37,28,JIC09_BnaDFFS008,JIC,BnaDFFS008,BnaDFFS008,s-00008,204,8
61,2,2,2,64,28,JIC09_BnaDFFS008,JIC,BnaDFFS008,BnaDFFS008,s-00008,202,10
64,1,3,3,1,28,JIC09_BnaDFFS008,JIC,BnaDFFS008,BnaDFFS008,s-00008,202,9
15,1,1,4,2,30,JIC09_BnaDFFS009,JIC,BnaDFFS009,BnaDFFS009,s-00009,201,10
26,2,2,5,3,30,JIC09_BnaDFFS009,JIC,BnaDFFS009,BnaDFFS009,s-00009,201,8
57,1,3,6,4,30,JIC09_BnaDFFS009,JIC,BnaDFFS009,BnaDFFS009,s-00009,201,9
1,1,1,7,5,35,JIC09_BnaDFFS010,JIC,BnaDFFS010,BnaDFFS010,s-00010,201,10
6,1,2,1,6,35,JIC09_BnaDFFS010,JIC,BnaDFFS010,BnaDFFS010,s-00010,201,9
11,1,3,2,7,35,JIC09_BnaDFFS010,JIC,BnaDFFS010,BnaDFFS010,s-00010,197,10
